"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,89,"GRC","Greece",1,"Aegean",1,"North Aegean","",NA,"","Periféreia","Region","<U+0392><U+03CC><U+03C1>e<U+03B9><U+03BF> <U+0391><U+03B9><U+03B3>a<U+03AF><U+03BF>",""
2,89,"GRC","Greece",1,"Aegean",2,"South Aegean","",NA,"","Periféreia","Region","<U+039D><U+03CC>t<U+03B9><U+03BF> <U+0391><U+03B9><U+03B3>a<U+03AF><U+03BF>",""
3,89,"GRC","Greece",2,"Athos",3,"Athos","",NA,"","Periféreia","Region","<U+0386><U+03B8><U+03C9><U+03C2>",""
4,89,"GRC","Greece",3,"Attica",4,"Attica ","",NA,"","Periféreia","Region","<U+0391>tt<U+03B9><U+03BA><U+03AE>",""
5,89,"GRC","Greece",4,"Crete",5,"Crete","",NA,"","Periféreia","Region","<U+039A><U+03C1><U+03AE>t<U+03B7>",""
6,89,"GRC","Greece",5,"Epirus and Western Macedonia",6,"Epirus ","",NA,"","Periféreia","Region","<U+0389>pe<U+03B9><U+03C1><U+03BF><U+03C2>",""
7,89,"GRC","Greece",5,"Epirus and Western Macedonia",7,"West Macedonia","",NA,"","Periféreia","Region","<U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a",""
8,89,"GRC","Greece",6,"Macedonia and Thrace",8,"Central Macedonia","",NA,"","Periféreia","Region","<U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a",""
9,89,"GRC","Greece",6,"Macedonia and Thrace",9,"East Macedonia and Thrace","",NA,"","Periféreia","Region","<U+0391><U+03BD>at<U+03BF><U+03BB><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a <U+03BA>a<U+03B9> T<U+03C1><U+03AC><U+03BA><U+03B7>",""
10,89,"GRC","Greece",7,"Peloponnese, Western Greece and the Ionian Islands",10,"Ionian Islands ","",NA,"","Periféreia","Region","<U+0399><U+03CC><U+03BD><U+03B9>a <U+03BD><U+03B7>s<U+03B9><U+03AC>",""
11,89,"GRC","Greece",7,"Peloponnese, Western Greece and the Ionian Islands",11,"Peloponnese ","",NA,"","Periféreia","Region","<U+03A0>e<U+03BB><U+03BF>p<U+03CC><U+03BD><U+03BD><U+03B7>s<U+03BF><U+03C2>",""
12,89,"GRC","Greece",7,"Peloponnese, Western Greece and the Ionian Islands",12,"West Greece","",NA,"","Periféreia","Region","<U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da",""
13,89,"GRC","Greece",8,"Thessaly and Central Greece",13,"Central Greece ","",NA,"","Periféreia","Region","Ste<U+03C1>e<U+03AC> <U+0395><U+03BB><U+03BB><U+03AC>da",""
14,89,"GRC","Greece",8,"Thessaly and Central Greece",14,"Thessaly","",NA,"","Periféreia","Region","Tessa<U+03BB><U+03AF>a",""
